id,vehicle_no,odometer,latitude,longitude,speed,distance,car_battery_voltage,dev_battery_voltage,create_date_time,beacon_date_time,source_id,distance_to_target
98131340,MH14LL2853,2980.1543,18.474318666666665,73.85626816666667,0.56,34.749447,52.0801,4.0005,2025-01-01 15:24:10.000,2025-01-01 15:23:58.868,1,9232.926748538204
98131777,MH14LL6185,2094.3196,18.58694,73.8235,1.79,0.78348315,51.8873,3.6079,2025-01-01 15:25:10.000,2025-01-01 15:24:52.322,1,12079.857511281527
98131707,MH14LL2853,2980.206,18.474104,73.85637883333334,16.58,34.801292,52.2247,4.0016,2025-01-01 15:25:10.000,2025-01-01 15:24:58.868,1,9240.188731142593
98131725,MH14LX0059,4062.3855,18.481959166666662,73.94192166666667,0.17,0.3426107,51.3571,3.6478,2025-01-01 15:25:10.000,2025-01-01 15:24:50.892,1,5765.3966055670635
98132098,MH14LL2853,2980.619,18.470483166666668,73.857221,25.76,35.214184,50.7305,4.0016,2025-01-01 15:26:11.000,2025-01-01 15:25:58.868,1,9450.17244376497
98132116,MH14LX0059,4062.3904,18.4819435,73.94191066666667,0.2,0.34768292,51.7668,3.6478,2025-01-01 15:26:11.000,2025-01-01 15:25:50.892,1,5766.561084730861
98132439,MH14LL2853,2981.0466,18.46671033333333,73.857965,31.06,35.641956,50.9233,4.0005,2025-01-01 15:27:10.000,2025-01-01 15:26:58.868,1,9692.36254147034
98132458,MH14LX0059,4062.3936,18.4819365,73.94191583333334,0.11,0.35073462,52.2247,3.6466,2025-01-01 15:27:10.000,2025-01-01 15:26:50.892,1,5767.484856112718
98132471,MH14LL6169,2474.085,18.531055,73.929805,0.47,0.31173688,51.0438,4.1071,2025-01-01 15:27:10.000,2025-01-01 15:26:49.103,1,911.7668168885488
98132805,MH14LL2853,2981.5479,18.46221633333333,73.85821766666666,24.02,36.142883,50.8751,4.0028,2025-01-01 15:28:11.000,2025-01-01 15:27:58.868,1,10040.977896856553
98132823,MH14LX0059,4062.3962,18.48194983333333,73.94192183333334,0.23,0.35338196,52.056,3.6466,2025-01-01 15:28:11.000,2025-01-01 15:27:50.892,1,5766.359246408401
98133164,MH14LL2853,2981.9983,18.45818033333333,73.8582315,29.69,36.593513,50.2726,4.0028,2025-01-01 15:29:11.000,2025-01-01 15:28:58.868,1,10378.888677571811
